sku_id,WAPE (%),Bias (%)
FOODS_1_008_WI_2,102.98068570608352,63.96006373453336
FOODS_1_008_WI_3,109.18134481651936,65.34798639329706
FOODS_1_009_CA_1,inf,inf
FOODS_1_009_CA_2,inf,inf
FOODS_1_009_CA_3,3039.801887425209,3039.801887425209
FOODS_1_009_CA_4,inf,inf
FOODS_1_009_TX_1,inf,inf
FOODS_1_009_TX_2,inf,inf
FOODS_1_009_TX_3,inf,inf
FOODS_1_009_WI_1,inf,inf
FOODS_1_009_WI_2,inf,inf
FOODS_1_009_WI_3,inf,inf
FOODS_1_010_CA_1,189.1292339410261,90.26216630688778
FOODS_1_010_CA_2,81.50961116106447,10.277898698462673
FOODS_1_010_CA_3,37.34767378213385,-10.490726480133011
FOODS_1_010_CA_4,1352.1965179952892,1352.1965179952892
FOODS_1_010_TX_1,72.21066895886892,-38.5328223613594
FOODS_1_010_TX_2,62.11865089682189,10.108508417449718
FOODS_1_010_TX_3,28.376963145295857,-17.22933435427261
FOODS_1_010_WI_1,41.25813047459107,-31.611627384486766
FOODS_1_010_WI_2,91.29273828571854,-1.351230734485529
FOODS_1_010_WI_3,61.739838513428445,26.945745275682086
FOODS_1_011_CA_1,54.25597218632792,19.254084249202577
FOODS_1_011_CA_2,36.62810517635883,-35.171833089756205
FOODS_1_011_CA_3,49.98798656413437,-44.95783359693024
FOODS_1_011_CA_4,29.45502992886736,-29.211454927171566
FOODS_1_011_TX_1,58.30915556654197,12.629712400546431
FOODS_1_011_TX_2,92.52498750978053,62.34540256335431
FOODS_1_011_TX_3,40.29646160285284,-20.205194089924568
FOODS_1_011_WI_1,32.740908959599174,-25.963901797427084
FOODS_1_011_WI_2,33.08984670741311,-25.407809373191775
FOODS_1_011_WI_3,61.610411138701025,42.67069815546041
HOBBIES_1_001_CA_1,41.854103507885455,-37.05902179128211
HOBBIES_1_001_CA_2,40.04937946190611,-30.40086517981189
HOBBIES_1_001_CA_3,30.74119584338571,-22.189720198003318
HOBBIES_1_001_CA_4,45.442817053125324,-15.364289189674112
HOBBIES_1_001_TX_1,13.760215546185098,-11.616801953095226
HOBBIES_1_001_TX_2,55.35465925296609,42.52088957677335
HOBBIES_1_001_TX_3,19.189245855660992,15.492645946535283
HOBBIES_1_001_WI_1,38.62081529639604,-2.55904323865068
HOBBIES_1_001_WI_2,91.90923308138255,86.1529822504888
HOBBIES_1_001_WI_3,79.26504374831343,19.66910409210487
HOBBIES_1_002_CA_1,90.3588964650667,58.41702476492991
HOBBIES_1_002_CA_2,153.75553745848856,118.32930436583311
HOBBIES_1_002_CA_3,416.6136602827568,410.8786065941694
HOBBIES_1_002_CA_4,113.95151096133797,50.18648353172003
HOBBIES_1_002_TX_1,260.9630338350242,205.0774445617845
HOBBIES_1_002_TX_2,166.20722191850362,75.81109573957839
HOBBIES_1_002_TX_3,73.72165806626847,47.659336631857265
HOBBIES_1_002_WI_1,45.14921925409976,1.7637015576406956
HOBBIES_1_002_WI_2,33.35915910300635,1.6621292098356875
HOBBIES_1_002_WI_3,70.84650053085075,-2.2906472592194067
HOBBIES_1_003_CA_1,71.59998388921241,-16.083370461868228
HOBBIES_1_003_CA_2,52.32190259354027,0.6807534387645937
HOBBIES_1_003_CA_3,51.3790036191405,-18.45622275420034
HOBBIES_1_003_CA_4,61.04496611179133,-42.530087164791205
HOBBIES_1_003_TX_1,95.48481510128073,-24.15808761929541
HOBBIES_1_003_TX_2,157.0736722484812,157.0736722484812
HOBBIES_1_003_TX_3,56.6858410231528,-3.1527780992564467
HOBBIES_1_003_WI_1,63.890542974653144,-29.392722977462032
HOBBIES_1_003_WI_2,58.565474349913636,4.165538074485738
HOBBIES_1_003_WI_3,413.91209946375403,413.91209946375403
HOBBIES_1_004_CA_1,20.50852847568804,15.758952633668757
HOBBIES_1_004_CA_2,24.791806189143443,14.334385081796647
HOBBIES_1_004_CA_3,31.081017218154916,-22.746731440412002
HOBBIES_1_004_CA_4,37.54773543965876,-15.277364185099385
HOBBIES_1_004_TX_1,34.81013905902858,-18.358933612177907
HOBBIES_1_004_TX_2,41.241632485123766,-27.961051663073693
HOBBIES_1_004_TX_3,113.51172452611442,107.08779133775568
HOBBIES_1_004_WI_1,76.03526008449654,69.50035346106802
HOBBIES_1_004_WI_2,48.21305056683489,29.03527467263176
HOBBIES_1_004_WI_3,108.65068286542108,100.29550500326778
HOBBIES_1_005_CA_1,11.216221686136576,-1.0205039367440036
HOBBIES_1_005_CA_2,28.18337151704387,-5.400073625122392
HOBBIES_1_005_CA_3,42.753400399105836,-36.09204554746478
HOBBIES_1_005_CA_4,38.55807969278689,18.018639455842578
HOBBIES_1_005_TX_1,32.70719235347981,-19.93365752931802
HOBBIES_1_005_TX_2,66.40041144918467,31.860885602572942
HOBBIES_1_005_TX_3,51.622527696316126,9.3432880158969
HOBBIES_1_005_WI_1,45.686264554607135,-8.121474229063049
